id,category,question,answer,score
2025_1_11,"적산","시멘트 500포의 공사현장에서 필요한 시멘트 창고의 면적을 구하시오. (단, 쌓기 단수는 최대로 적용)","A = 0.4 × (500 / 13) = 15.38㎡",3
2025_1_12,"적산","길이 4m×높이 1m 담장을 세우려 한다. 블록 소요량을 산출하고, 일위대가표를 작성 후 재료비와 노무비를 산출하시오.","(1) 블록 소요량: 52매 (2) 일위대가 작성 (3) 재료비: 47,272원, 노무비: 53,600원",10
2025_1_13,"재료","골재의 상태(절대건조, 기건, 표건, 습윤)와 관련 있는 골재의 흡수량과 함수량에 간단히 설명하시오.","(1) 흡수량: 표건상태 골재 내 포함된 물의 양 (2) 함수량: 습윤상태 골재 내외부에 함유된 전체 물의 양",3
2025_1_14,"공정관리","Network 공정표는 공기단축을 위해 작업시간을 3점 추정하는 (①)공정표와 CPM공정표가 있다. CPM공정표는 작업중심의 (②), 결합점 중심의 (③) 공정표가 있다.","① PERT ② ADM ③ PDM",4
2025_1_15,"공정관리","다음 데이터를 네트워크공정표로 작성하시오. (작업명, 일수, 선행작업 조건)","결합점 표시 및 주공정선(Critical Path) 굵은선 표시",8
2025_1_16,"철근콘크리트","철근콘크리트 구조의 1방향 슬래브와 2방향 슬래브를 구분하는 기준에 대해 설명하시오.","(1) 1방향 슬래브: 장변/단변 > 2 (2) 2방향 슬래브: 장변/단변 ≤ 2",3
2025_1_17,"철근콘크리트","인장철근비, 압축철근비 조건 및 순간처짐이 발생했을 때 3년 지속하중의 총처짐량(순간+장기처짐)을 구하시오.","총처짐량 = 40mm",4
2025_1_18,"강구조","총단면적 5,624㎟의 H-250×175×7×11 (SM355)의 설계인장강도를 한계상태설계법에 의해 산정하시오.","1,796.868 kN",2
2025_1_19,"철근콘크리트","철근의 응력-변형도 곡선과 관련하여 각각이 의미하는 용어를 보기에서 골라 번호로 쓰시오.","A: ⑥, B: ⑧, C: ⑦, D: ②, E: ④, F: ③, G: ⑨, H: ⑩, I: ⑤, J: ⑪, K: ①",5
2025_1_20,"철근콘크리트","지름 300mm, 길이 500mm 시험체의 할렬인장강도 시험 최대하중이 100kN일 때, 인장강도를 구하시오.","0.42 MPa",3
2025_1_21,"강구조","강재의 종류 중 SM355에서 SM의 의미와 355가 의미하는 바를 각각 쓰시오.","(1) SM: 용접구조용 압연강재 (2) 355: 항복강도 Fy = 355MPa",4
2025_1_22,"강구조","강구조에서 메탈터치(Metal Touch)에 대한 개념을 그림과 정의로 설명하시오.","강구조 기둥 이음부를 가공하여 상하부 밀착을 좋게 하고 축력의 50%까지 직접 전달시키는 이음방법",4
2025_1_23,"구조역학","반응수정계수 및 횡변위에 따른 지진하중 내진설계계수 그래프 관련 괄호 채우기","(1) 큰 (2) 변위증폭계수, 시스템초과강도계수, 반응수정계수",4
2025_1_24,"구조역학","보의 모멘트/전단력 계산 및 경제적인 보 일람표 번호 선정 (단부 모멘트, 중앙부 모멘트, 전단력, 일람표 번호)","(1) MA=MB=-744kN·m, MC=+372kN·m (2) VA=VB=372kN (3) 양단부: ③, 중앙부: ①",6
